"",""
"Action","Action"
"Add Attachment","Add Attachment"
"An error occurred while updating the attachments.","An error occurred while updating the attachments."
"Are you sure?","Are you sure?"
"Associated products","Associated products"
"Attachment was saved","Attachment was saved"
"Attachment was successfully deleted.","Attachment was successfully deleted."
"Attachment was successfully saved","Attachment was successfully saved"
"Attachment","Attachment"
"Attachments","Attachments"
"CSV","CSV"
"Change status","Change status"
"Could not find attachment to delete.","Could not find attachment to delete."
"Created at","Created at"
"Delete Attachment","Delete Attachment"
"Delete File","Delete File"
"Delete","Delete"
"Disabled","Disabled"
"Edit Attachment '%s'","Edit Attachment '%s'"
"Edit","Edit"
"Enabled","Enabled"
"Error saving attachment","Error saving attachment"
"Excel","Excel"
"Home","Home"
"Id","Id"
"No","No"
"None","None"
"Please select attachments to delete.","Please select attachments to delete."
"Please select attachments.","Please select attachments."
"Position","Position"
"Reset","Reset"
"Save And Continue Edit","Save And Continue Edit"
"Save Attachment","Save Attachment"
"Status","Status"
"Store views","Store views"
"The attachments has been deleted.","The attachments has been deleted."
"There was a problem saving the attachment.","There was a problem saving the attachment."
"There was an error deleting attachment.","There was an error deleting attachment."
"There was an error deleting attachments.","There was an error deleting attachments."
"There was an error updating attachments.","There was an error updating attachments."
"This attachment no longer exists.","This attachment no longer exists."
"Title","Title"
"Total of %d attachments were successfully deleted.","Total of %d attachments were successfully deleted."
"Total of %d attachments were successfully updated.","Total of %d attachments were successfully updated."
"Total of %d record(s) have been deleted.","Total of %d record(s) have been deleted."
"Total of %d record(s) have been updated.","Total of %d record(s) have been updated."
"Unable to find attachment to save.","Unable to find attachment to save."
"Updated at","Updated at"
"Uploaded file","Uploaded file"
"Use Breadcrumbs","Use Breadcrumbs"
"WYSIWYG Editor","WYSIWYG Editor"
"XML","XML"
"Yes","Yes"
